
Titulo,Autor,Fecha de Publicacion,ISBN,Editorial
Titulo,Autor ,00/41873408/2000,ISBN,Editorial
Mariposita,Esta En La Cocina,12/05/1973,9780001831780,Juanes
Lirios Santos,Kenneth Petunes,12/04/2004,9780001831780,Jugos
Patitos Huesos,Padre Nuestro,12/03/2014,9780001831780,Lenox
Asd,Asd Asd,12/02/2005,9780001831780,Kashd
El Principito,Adsasda Asdasd,12/03/2003,9780001831780,
KasjdhaEr,We Ds,14/04/1987,9780060883287,Edinum
Hola,Pepe Ar,17/08/2007,9780060114183,Sdf
Sdfd,Dfsd Sdf,17/08/2000,9783140464079,Sdf
Programacion Tres,Pepito Flores,29/02/2000,9783140464079,Espe
Programacion Tres,Pepito Flores,29/02/2000,9783140464079,Espe
Programacion ,Pepito Flores,17/08/2004,9780060883287,Santillana
El Principito,Saint Laor,17/08/1980,9783462037197,Ewr
Programa 3,Kevin  Guamangallo,12/02/2004,9780060883287,Santillana
Asd,Asd Asd,12/02/2004,9780S060883287,Asd
Asd,Asd Asd,12/02/2000,9780060883287,Edinum
Kinestesis,Monica Teran,12/05/2007,9780192827609,Gigis
